what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1425563852881
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425563852881
java.specification.version,sysinfo,,,"1.6",1425563852881
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1425563852881
java.version,sysinfo,,,"1.6.0_45",1425563852881
java.vm.info,sysinfo,,,"mixed mode, sharing",1425563852881
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425563852881
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425563852881
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425563852881
java.vm.specification.version,sysinfo,,,"1.0",1425563852881
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1425563852881
java.vm.version,sysinfo,,,"20.45-b01",1425563852881
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1425563853271
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1425563853333
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1425563853364
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1425563853411
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1425563853427
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1425563853552
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1425563853552
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425563853552
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1425563853567
started,bundle,com.android.ide.eclipse.ddms,16.0.0.v201112072138-234950,"com.android.ide.eclipse.ddms",1425563853645
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1425563854004
started,bundle,com.android.ide.eclipse.adt,16.0.0.v201112072138-234950,"com.android.ide.eclipse.adt",1425563854020
error,log,,,"DDMS files not found: D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\platform-tools\\adb.exe D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\tools\\hprof-conv.exe D:\\Eclipse Helios_3.6_win_O\\eclipse-java-helios-SR2-win32\\eclipse\\tools\\traceview.bat ",1425563854035
started,bundle,org.codehaus.groovy.eclipse.dsl,2.7.0.xx-20120306-1100-e36-RELEASE,"org.codehaus.groovy.eclipse.dsl",1425563854051
started,bundle,org.eclipse.m2e.discovery,1.3.1.20130219-1424,"org.eclipse.m2e.discovery",1425563854051
started,bundle,com.android.ide.eclipse.traceview,16.0.0.v201112072138-234950,"com.android.ide.eclipse.traceview",1425563854051
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1425563854207
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1425563854207
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425563854316
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425563860603
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1425563860650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425563881013
started,bundle,org.eclipse.m2e.core,1.3.1.20130219-1424,"org.eclipse.m2e.core",1425563894366
started,bundle,org.eclipse.m2e.core.ui,1.3.1.20130219-1424,"org.eclipse.m2e.core.ui",1425563894382
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425564124696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425564132310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425564263738
started,bundle,org.eclipse.m2e.editor.xml,1.3.1.20130219-1424,"org.eclipse.m2e.editor.xml",1425564263925
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1425564264097
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1425564264237
started,bundle,org.codehaus.groovy,1.8.6.xx-20120306-1100-e36-RELEASE,"org.codehaus.groovy",1425564266296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425564280259
